                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0898,                 5.7787,                 4.2323,                      0,                      0,                      0,                      0,                 4.5454,                 5.9938,                 4.1338,             5.3237e-05,             5.3237e-05,             5.3237e-05
                      2,                 3.7381,                 5.4967,                  4.016,                0.30228,                0.01261,                0.00424,                0.00135,                 3.5692,                 6.1854,                  3.798,             0.00010585,             0.00010585,             0.00010585
                      3,                 3.2044,                 4.9806,                 3.5459,                0.37311,                0.03318,                0.00886,                0.00229,                 3.3151,                 6.3971,                 3.3604,             0.00015739,             0.00015739,             0.00015739
                      4,                 3.0402,                 4.4735,                 3.1553,                0.33386,                0.04026,                0.02272,                0.00558,                 3.3617,                 4.4694,                 3.2458,             0.00015622,             0.00015622,             0.00015622
                      5,                 2.8646,                  4.058,                 2.9465,                0.31008,                0.06442,                0.05046,                0.01339,                 3.0206,                 4.0247,                 2.9662,             0.00015622,             0.00015622,             0.00015622
                      6,                 2.6908,                 3.7382,                 2.7723,                0.24523,                0.11968,                 0.0766,                0.02062,                 3.0075,                 3.6987,                 2.8928,             0.00015462,             0.00015462,             0.00015462
                      7,                 2.5799,                 3.4981,                 2.6273,                0.26361,                0.14301,                0.12144,                0.03355,                 2.8574,                 3.4868,                 2.7284,             0.00015303,             0.00015303,             0.00015303
                      8,                 2.4675,                 3.2663,                 2.4966,                0.26243,                 0.2046,                0.16466,                0.04547,                  2.791,                 3.2035,                 2.6159,             0.00015144,             0.00015144,             0.00015144
                      9,                 2.4102,                 3.1198,                 2.4164,                0.32393,                0.25238,                0.21255,                  0.069,                 2.5894,                 3.0369,                 2.4546,             0.00014984,             0.00014984,             0.00014984
                     10,                 2.3387,                 2.9871,                 2.3571,                0.42108,                0.25874,                0.22143,                0.06634,                 2.7179,                 2.8597,                 2.5104,             0.00014825,             0.00014825,             0.00014825
